user_id,item_id,rating,title,category,description,image_url
1,101,4.5,"Wireless Bluetooth Headphones","Electronics","Premium wireless headphones with active noise cancellation and 30-hour battery life. Perfect for music lovers and professionals.","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=300"
1,102,3.8,"Smartphone Case","Electronics","Durable protective case for smartphones with shock absorption and wireless charging compatibility.","https://images.unsplash.com/photo-1556656793-08538906a9f8?w=300"
1,103,4.2,"Coffee Maker","Home & Kitchen","Programmable coffee maker with built-in grinder and thermal carafe. Makes perfect coffee every morning.","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=300"
2,101,4.0,"Wireless Bluetooth Headphones","Electronics","Premium wireless headphones with active noise cancellation and 30-hour battery life. Perfect for music lovers and professionals.","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=300"
2,104,4.7,"Running Shoes","Sports & Outdoors","Lightweight running shoes with advanced cushioning technology and breathable mesh upper for maximum comfort.","https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=300"
2,105,3.5,"Yoga Mat","Sports & Outdoors","Non-slip yoga mat made from eco-friendly materials. Perfect for yoga, pilates, and home workouts.","https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=300"
3,102,4.1,"Smartphone Case","Electronics","Durable protective case for smartphones with shock absorption and wireless charging compatibility.","https://images.unsplash.com/photo-1556656793-08538906a9f8?w=300"
3,106,4.8,"Organic Green Tea","Food & Beverages","Premium organic green tea with antioxidants and natural flavor. Sourced from sustainable farms.","https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=300"
3,107,3.9,"Desk Lamp","Home & Kitchen","LED desk lamp with adjustable brightness and color temperature. Perfect for reading and working.","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=300"
4,104,4.3,"Running Shoes","Sports & Outdoors","Lightweight running shoes with advanced cushioning technology and breathable mesh upper for maximum comfort.","https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=300"
4,108,4.6,"Protein Powder","Health & Personal Care","Whey protein powder with essential amino acids for muscle building and recovery. Chocolate flavor.","https://images.unsplash.com/photo-1593095948071-474c5cc2989d?w=300"
4,109,3.7,"Water Bottle","Sports & Outdoors","Insulated stainless steel water bottle that keeps drinks cold for 24 hours and hot for 12 hours.","https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=300"
5,103,4.4,"Coffee Maker","Home & Kitchen","Programmable coffee maker with built-in grinder and thermal carafe. Makes perfect coffee every morning.","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=300"
5,106,4.2,"Organic Green Tea","Food & Beverages","Premium organic green tea with antioxidants and natural flavor. Sourced from sustainable farms.","https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=300"
5,110,4.9,"Cookbook - Healthy Recipes","Books","Comprehensive cookbook with over 200 healthy recipes for breakfast, lunch, dinner, and snacks.","https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=300"
6,107,4.0,"Desk Lamp","Home & Kitchen","LED desk lamp with adjustable brightness and color temperature. Perfect for reading and working.","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=300"
6,111,3.8,"Wireless Mouse","Electronics","Ergonomic wireless mouse with precision tracking and long battery life. Compatible with all devices.","https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=300"
6,112,4.5,"Plant Pot Set","Home & Garden","Set of 3 ceramic plant pots with drainage holes and saucers. Perfect for indoor plants and herbs.","https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=300"
7,108,4.1,"Protein Powder","Health & Personal Care","Whey protein powder with essential amino acids for muscle building and recovery. Chocolate flavor.","https://images.unsplash.com/photo-1593095948071-474c5cc2989d?w=300"
7,113,4.7,"Resistance Bands Set","Sports & Outdoors","Complete resistance bands set with different resistance levels for full-body workouts at home.","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300"
7,114,3.6,"Multivitamin Supplements","Health & Personal Care","Daily multivitamin supplements with essential vitamins and minerals for overall health support.","https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=300"
8,109,4.3,"Water Bottle","Sports & Outdoors","Insulated stainless steel water bottle that keeps drinks cold for 24 hours and hot for 12 hours.","https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=300"
8,115,4.8,"Backpack","Fashion","Durable and stylish backpack with multiple compartments and laptop sleeve. Perfect for travel and daily use.","https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=300"
8,116,3.9,"Sunglasses","Fashion","UV protection sunglasses with polarized lenses and lightweight frame. Stylish and functional.","https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=300"
9,110,4.6,"Cookbook - Healthy Recipes","Books","Comprehensive cookbook with over 200 healthy recipes for breakfast, lunch, dinner, and snacks.","https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=300"
9,117,4.2,"Essential Oils Set","Health & Personal Care","Set of 6 pure essential oils including lavender, eucalyptus, and peppermint for aromatherapy and relaxation.","https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=300"
9,118,4.0,"Candle Set","Home & Kitchen","Set of 3 scented candles with natural soy wax and cotton wicks. Creates a relaxing atmosphere.","https://images.unsplash.com/photo-1602874801006-2bd9c2f07c47?w=300"
10,111,3.7,"Wireless Mouse","Electronics","Ergonomic wireless mouse with precision tracking and long battery life. Compatible with all devices.","https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=300"
10,119,4.4,"Mechanical Keyboard","Electronics","RGB mechanical keyboard with tactile switches and customizable backlighting. Perfect for gaming and typing.","https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=300"
10,120,4.1,"Monitor Stand","Electronics","Adjustable monitor stand with storage space underneath. Improves ergonomics and desk organization.","https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=300"
11,112,4.5,"Plant Pot Set","Home & Garden","Set of 3 ceramic plant pots with drainage holes and saucers. Perfect for indoor plants and herbs.","https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=300"
11,121,4.8,"Garden Tools Set","Home & Garden","Complete garden tools set with trowel, pruner, and watering can. Made from durable stainless steel.","https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=300"
11,122,3.8,"Fertilizer","Home & Garden","Organic plant fertilizer for indoor and outdoor plants. Promotes healthy growth and vibrant colors.","https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=300"
12,113,4.2,"Resistance Bands Set","Sports & Outdoors","Complete resistance bands set with different resistance levels for full-body workouts at home.","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300"
12,123,4.6,"Foam Roller","Sports & Outdoors","High-density foam roller for muscle recovery and injury prevention. Essential for athletes and fitness enthusiasts.","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300"
12,124,4.0,"Gym Towel","Sports & Outdoors","Quick-dry microfiber gym towel that's lightweight and highly absorbent. Perfect for workouts and sports.","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300"
13,114,3.9,"Multivitamin Supplements","Health & Personal Care","Daily multivitamin supplements with essential vitamins and minerals for overall health support.","https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=300"
13,125,4.3,"Face Moisturizer","Health & Personal Care","Hydrating face moisturizer with SPF protection and natural ingredients. Suitable for all skin types.","https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=300"
13,126,4.7,"Hair Shampoo","Health & Personal Care","Sulfate-free shampoo with natural ingredients for healthy and shiny hair. Suitable for daily use.","https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=300"
14,115,4.1,"Backpack","Fashion","Durable and stylish backpack with multiple compartments and laptop sleeve. Perfect for travel and daily use.","https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=300"
14,127,4.4,"Wallet","Fashion","Genuine leather wallet with RFID blocking technology and multiple card slots. Slim and elegant design.","https://images.unsplash.com/photo-1627123424574-724758594e93?w=300"
14,128,3.6,"Watch","Fashion","Stylish analog watch with stainless steel band and water resistance. Perfect for everyday wear.","https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=300"
15,116,4.8,"Sunglasses","Fashion","UV protection sunglasses with polarized lenses and lightweight frame. Stylish and functional.","https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=300"
15,129,4.2,"Scarf","Fashion","Soft cashmere scarf in multiple colors. Perfect accessory for any season and outfit.","https://images.unsplash.com/photo-1601924994987-69e26d50dc26?w=300"
15,130,4.5,"Handbag","Fashion","Elegant leather handbag with multiple compartments and adjustable strap. Perfect for work and casual occasions.","https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=300"
